productTypeName,name,company,price,link
Phones,iPhone 11 Pro Max,Apple,1099,https://www.gsmarena.com/apple_iphone_11_pro_max-9846.php
Phones,iPhone 11 Pro,Apple,999,https://www.gsmarena.com/apple_iphone_11_pro-9847.php
Phones,iPhone 11,Apple,699,https://www.gsmarena.com/apple_iphone_11-9848.php
Phones,iPhone SE,Apple,399,https://www.gsmarena.com/apple_iphone_se_(2020)-10170.php
Phones,Galaxy Note 20 Ultra 5G,Samsung,1299,https://www.gsmarena.com/samsung_galaxy_note20_ultra_5g-10261.php
Phones,Galaxy Note 20 5G,Samsung,999,https://www.gsmarena.com/samsung_galaxy_note20_5g-10325.php
Phones,Galaxy S20 Plus,Samsung,709,https://www.gsmarena.com/samsung_galaxy_s20+-10080.php
Phones,Galaxy S20,Samsung,679,https://www.gsmarena.com/samsung_galaxy_s20-10081.php
Phones,OnePlus 8 Pro,OnePlus,999,https://www.gsmarena.com/oneplus_8_pro-9919.php
Phones,OnePlus 8,OnePlus,699,https://www.gsmarena.com/oneplus_8-10161.php
,,,,
Laptops,MacBook Pro 16-inch,Apple,2399,https://www.theverge.com/2019/11/21/20974649/apple-macbook-pro-16-inch-laptop-review-keyboard-test-specs-price-features
Laptops,MacBook Air,Apple,899,https://www.theverge.com/2020/3/26/21195008/apple-macbook-air-review-2020-new-keyboard-processor-battery-life-camera-price
Laptops,XPS 13,Dell,1099,https://www.theverge.com/2020/4/15/21221003/dell-xps-13-2020-review-core-i7-specs-features-price
Laptops,ROG Zephyrus G14,Asus,1449,https://www.theverge.com/2020/3/30/21197761/asus-rog-zephyrus-g14-review-gaming-laptop-specs-features-price
Laptops,Envy X360,HP,869,https://www.theverge.com/21319378/hp-envy-x360-2020-amd-review-price-specs-features
Laptops,Spectre X360 13,HP,1299,https://www.theverge.com/2019/12/16/21022770/hp-spectre-x360-13-2019-laptop-2-in-1-convertible-review-price-specs-features
Laptops,MacBook Pro 16-inch,Apple,1799,https://www.theverge.com/21256520/apple-13-inch-macbook-pro-2020-review-keyboard-specs-price-features
,,,,
PCs,Aspire TC-885-UA92,Acer,549,https://www.pcmag.com/reviews/acer-aspire-tc-885-ua92
PCs,NUC 9 Extreme Kit,Intel,1549,https://www.pcmag.com/reviews/intel-nuc-9-extreme-kit-ghost-canyon
PCs,iMac 27-inch,Apple,1799,https://www.pcmag.com/reviews/apple-imac-27-inch-2020
PCs,Precision 7920 Tower,Dell,2129,https://www.pcmag.com/reviews/dell-precision-7920-tower-2020
PCs,Envy 32 All-in-One,HP,1699,https://www.pcmag.com/reviews/hp-envy-32-all-in-one
PCs,Z2 Tower G4,HP,909,https://www.pcmag.com/reviews/hp-z2-tower-g4
PCs,Surface Studio 2,Microsoft,3499,https://www.pcmag.com/reviews/microsoft-surface-studio-2
PCs,Aurora R10 Ryzen Edition,Alienware,1099,https://www.pcmag.com/reviews/alienware-aurora-r10-ryzen-edition
PCs,G5 Gaming Desktop,Dell,699,https://www.pcmag.com/reviews/dell-g5-gaming-desktop
,,,,
Headphones,WH-1000XM4,Sony,349,https://www.techradar.com/reviews/sony-wh-1000xm4-wireless-headphones
Headphones,Triple Driver In-Ear,1More,69,https://www.techradar.com/reviews/1more-triple-driver-in-ear-headphone
Headphones,S500u In-Ear,RHA,39,https://www.techradar.com/reviews/rha-s500u-in-ear-headphones
Headphones,PX7 Wireless Headphones,Bowers & Wilkins,399,https://www.techradar.com/reviews/bowers-and-wilkins-px7-wireless-headphones
Headphones,1000XM3 In-Ear,Sony,179,https://www.techradar.com/reviews/sony-wf-1000xm3-wireless-earbuds
Headphones,Noise Cancelling 700 (NC-700),Bose,379,https://www.techradar.com/reviews/bose-noise-cancelling-headphones-700-review
Headphones,BackBeat Go 810,Plantronics,59,https://www.techradar.com/reviews/plantronics-backbeat-go-810
Headphones,HD 450BT Noise Cancelling,Sennheiser,199,https://www.techradar.com/reviews/sennheiser-hd-450bt
Headphones,Tune 750BTNC,JBL,99,https://www.techradar.com/reviews/jbl-tune-750btnc